,b,w_-1
199,0.03147254247342862,-1.6187087416407737
200,0.2985785341872902,1.801986529919245
201,-0.004175897286189778,-1.672127344114639
202,0.2099520476993579,1.8906130164071795
203,0.04553408477216972,-1.7218373261729967
204,0.24572036988853876,1.934240668307164
205,0.007275862822496482,-1.7600955481226717
206,0.21019292078019552,1.9862223794998723
207,0.05485239283989393,-1.8076720781400695
208,0.24811315855843896,2.028057024357021
209,0.018207103220155896,-1.8443173677598055
210,0.21118575668184775,2.0785893289805504
211,0.02074127644878304,-1.846851540988434
212,0.1672126151788782,2.1225624704835186
213,0.07432378598338593,-1.8810260693212553
214,0.21282223566232966,2.1681720909669706
215,0.027733698110196936,-1.9242341914384586
216,0.12609615207331137,2.2548981745559877
217,0.06848454754329565,-1.9649850408715568
218,0.16693944629485163,2.295122760056753
219,0.03460629776756416,-1.9988632906472898
220,0.12750081203029515,2.3428635929694877
221,0.021171970022020897,-1.9854289629017479
222,0.08529648418779928,2.385067920811984
223,0.07971244427672594,-2.017955303757297
224,0.16631475471714002,2.4660861913413243
225,0.04866765359019107,-2.0490000944438314
226,0.12699942998668345,2.51415267512976
227,0.027769591580276178,-2.0281020324339187
228,0.041510338379458764,2.5996417667369847
229,0.060996777849437966,-2.0613292187030816
230,0.08184431594722219,2.6403371654817067
231,0.09383124970421462,-2.0284947468483048
232,0.1261569912351983,2.6846498407696813
233,0.03370835917207088,-2.0590086480816914
234,0.041052240098456365,2.7697545919064237
235,0.06423088402798965,-2.0895311729376105
236,0.042744736708234636,2.7724143859845554
237,0.06557982707066595,-2.1835970235178785
238,0.0867876895523346,2.81164903655599
239,0.10444877085764373,-2.144728079730902
240,0.16629625469068088,2.891157601694337
241,0.07950761197317678,-2.1696692386153695
242,0.12668223058008618,2.9404638786231003
243,0.04186111251164704,-2.132022739153838
244,0.08508219223009894,2.9820639169730883
245,0.1118345739647593,-2.158317775925482
246,0.16278339902700162,3.0597651237699908
247,0.08912971365301962,-2.1810226362372203
248,0.12457202415595939,3.1099439668428936
249,0.045928301756581046,-2.137821224340781
250,0.04007726012673431,3.1944387308721196
