,b,w_-1,w_-2,w_-3,w_-4
27,-0.2892347759489795,3.9084282644595745,-4.871451345957901,4.503348527054474,-3.8290805010210747
28,-0.4750026376577526,0.49835169066042767,-1.4315390125384864,1.486048605677987,-0.2490376968619896
29,-0.4818945764681423,0.5162755350863977,-1.4517353915116828,1.5113932014401688,-0.25633596524114094
30,-0.5459623437299124,0.3959995012225841,-0.9261851011845014,1.1295412300373355,0.17311178300453275
31,-0.5769428585385867,0.5655860696895856,-0.9422126426244052,1.267724517139071,0.07511867643205783
32,-0.581143168745902,0.6323197813628166,-0.8987695259949785,1.3479471306404434,0.1276515366566067
33,-0.58416487728211,0.6862846345924601,-0.8680157450332816,1.4124671828170305,0.16583159436784828
34,-0.5866057118828238,0.7318774577305227,-0.8445462034133122,1.4666524873933324,0.1954424334119944
35,-0.5733419432590726,0.5053070752325431,-0.9870129545544369,1.1951987926304937,0.022395826293263237
36,-0.6317786277179342,0.32891001921112145,-0.8764043054613739,1.1667321376997346,0.1834359121651236
37,-0.45505373362480883,0.0756813294412187,-0.5185489813856268,0.835360477463794,0.2367039787580028
38,-0.40858586834694033,0.20622237658701176,-0.6018783883347758,0.9415171763142932,0.13438327049155654
39,-0.18008858541642167,0.26812096379543865,-0.3657811448755951,0.8482334553253413,0.32477573563619444
40,-0.29253445414638396,0.12004227972068165,-0.4177700604089359,0.7325191966126035,0.40209488490726464
41,-0.20573393369986812,0.04873673535292725,-0.3315266760682929,0.7769798931270353,0.5182688731054675
42,-0.1708059477264084,0.08452370879134222,-0.3568919802823323,0.8215019142628428,0.5381643427706121
43,-0.22952488236665106,0.06252554546367738,-0.4207907698968056,0.8564654997473328,0.489899942782582
44,-0.2853295699617712,0.09070370793470978,-0.4717944616356342,0.8192513780193197,0.5100618568265134
45,-0.38101261338809994,0.1867180476641375,-0.4007368869850647,0.7155981716298329,0.3673434234881697
46,-0.41238288252087624,0.25523071632433303,-0.38759652756945456,0.7711200060385214,0.31062832031106435
47,-0.3702179117011588,0.17930882304185194,-0.46486895110822835,0.6710682011108311,0.22251721328233728
48,-0.40094964916876474,0.12004198516015957,-0.42240516488874685,0.6853266136929035,0.27946363848540035
49,-0.32084143427479206,0.0196475275490368,-0.29230641614815156,0.5612691011254384,0.2520529546681352
50,-0.37570863975121604,-0.08620477840014394,-0.22043140702697384,0.4754407580181877,0.3397934054740428
51,-0.3053908880672596,-0.17058699759932122,-0.12401987272559074,0.40910288239099507,0.44763331928913497
52,-0.24766401236489968,-0.08330010228802352,-0.17824066452800097,0.4768598353782194,0.3782252941534995
53,-0.16498776107046206,-0.032064517905329874,-0.1004801883445078,0.4395055846858024,0.44171239082648034
54,-0.2139343197567526,-0.08578633302684067,-0.1383690406060929,0.3946767237751846,0.4745981521124452
55,-0.1728089753696644,-0.1181403488773923,-0.09990681832033098,0.4293202887048904,0.5243455894962661
56,-0.24546677637704967,-0.17892503693598144,-0.05493629903323779,0.35605734843231285,0.47158566634146776
57,-0.20441877096750122,-0.22778929663359834,-0.0053848644993165695,0.3201734877306079,0.5303048843347427
58,-0.1495492741191658,-0.1572827355926733,-0.05268458436031078,0.37396484660995927,0.47053967685541537
59,-0.09575809361587503,-0.11567144278583151,-0.001426366741597434,0.343734120211992,0.5124838610942131
60,-0.13202401294650815,-0.15628943386585162,-0.034826521035055825,0.30944932465780217,0.5407996049427769
61,-0.1950861935824348,-0.10163054989427102,-0.09443689078652548,0.24685947213923734,0.4651721355239873
62,-0.24341820804943326,-0.053488432893150764,-0.05292283352178236,0.19662336282156856,0.40685030044565157
63,-0.21633671819305855,-0.0900024418723665,-0.08281647439922273,0.16290187190610672,0.4420204480142199
64,-0.23549393418404116,-0.11462991108371712,-0.061369806652056116,0.18251874955422334,0.4670532644957008
65,-0.19515102493803077,-0.15638512698035542,-0.013703285171201441,0.13539870321677586,0.4281032052949951
66,-0.22047063970162628,-0.18591116361418283,0.008009622323575596,0.10959631751396266,0.453583299720218
67,-0.19317393666752317,-0.2133166475724259,0.03843172483704613,0.08629007752114529,0.4876419205147895
68,-0.21531044421583953,-0.23705710139923897,0.05543098745119055,0.06575871623788217,0.5080486174509237
69,-0.25449678698791534,-0.2007694537803421,0.014468251865249283,0.09660547173222699,0.46228375544049255
70,-0.275870374484739,-0.17826291688602736,0.03789090838290294,0.07298798913647835,0.48365645471063673
71,-0.2563163330329102,-0.20557043517844312,0.00940376345848853,0.0474162558954559,0.5108201922134452
72,-0.2712357862172775,-0.22479499443667633,0.025422994952109278,0.06513459654041613,0.5296037831755148
73,-0.28895235914323236,-0.20784469834123043,0.004610249935322978,0.08488598301257415,0.5506086377008242
